www.framablog.org;OVH SAS 
www.tux-planet.fr;Dedibox SAS 
www.toolinux.com;LINAGORA SA 
www.clapico.com;OVH SAS 
blog.nicolargo.com;Dedibox SAS 
philippe.scoffoni.net;Dedibox SAS 
www.le-libriste.fr;Infomaniak Network SA - hosting vernier 
frederic.bezies.free.fr;Free SAS (ProXad) 
www.crowd42.info;Ielo Assignation to Customer 
blog.mandriva.com;Dedibox SAS 
colibri-libre.org;w4a-01 
www.taltan.fr;1&1 Internet AG 
frugalware.org;Eotvos Lorand University of Sciences 
blog.rom1v.com;Free SAS 
www.zdnet.fr;CNET Networks UK 
geekdefrance.fr;w4a-01 
www.ubuntu-party.org;ikoula hosting 
www.llaumgui.com;OVH SAS 
tic-et-net.org;
www.zdnet.fr;CNET Networks UK 
blog.mageekbox.net;Dedibox SAS 
blog.itnservice.net;GANDI FRANCE L/B SERVICES 
j-mad.com;alwaysdata hosting 
raphaelhertzog.fr;Dedibox SAS 
artisan.karma-lab.net;Dedibox SAS 
www.esiteweb.net;
www.nolifeclub.org;OVH SAS 
linux.leunen.com;Infomaniak Network SA - hosting vernier 
blog.admin-linux.org;Ikoula Net SAS 
thecodersbreakfast.net;
www.kenshin-blog.com;Hetzner Online AG 
andre-ani.fr;1&1 Internet AG 
www.monitoring-fr.org;Dedibox SAS 
www.throrinstudio.com;Servers 
sciunto.wordpress.com;
www.codesscripts.fr;OVH SAS 
blog.rodolphe.quiedeville.org;IP SYNERGIES (so called IPsyn networks) 
experiencelinuxienne.blogspot.com;
yeknan.free.fr;Free SAS (ProXad) 
coffeebean.loicdescotte.com;
www.industrialisation-php.com;Dedibox SAS 
www.k1ka.be;OVH SAS 
hackurx.wordpress.com;
www.lolokai.com;NUXIT s.a.r.l. 
lapt.blogspot.com;
dotclear.jcdenis.com;OVH SAS 
www.dom-web.net;1&1 Internet AG 
linuxcloud.fr;OVH SAS 
net-progress.blogspot.com;
blog.hikoweb.net;Shared Hosting 
www.footcow.com;IMAXIMILES 
www.loutre.ch;alwaysdata hosting 
uselinux.over-blog.fr;JFG NETWORKS 
ubuntuauquotidien.wordpress.com;
www.k-tux.com;OVH SAS 
ernstfamily.ch;GANDI DEDICATED HOSTING SERVERS 
www.liteweb.fr;Free SAS 
linuxbidouille.com;
pascollibre.wordpress.com;
www.gazouillis-songbird.info;WHD Servers Subnet 
